employment_income,mn_amt_0,mn_amt_1,mn_amt_2,mn_amt_3,mn_amt_4,mn_amt_5,mn_amt_6
5700.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5820.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5880.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5940.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6060.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6120.6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6180.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6240.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6300.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6360.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6420.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6480.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6540.6543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6660.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6720.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6780.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6840.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6900.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6960.6963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7020.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7080.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7140.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7260.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7320.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7380.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7440.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7560.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7620.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7680.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7740.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7800.7803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7860.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7920.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7980.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8040.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8100.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8160.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8220.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8280.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8340.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8400.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8460.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8520.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8580.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8700.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8760.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8820.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8880.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8940.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9060.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9120.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9180.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9240.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9300.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9360.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9420.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9480.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9540.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9600.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9660.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9720.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9780.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9840.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9900.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9960.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10081.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10141.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10201.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10261.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10321.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10381.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10441.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10501.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10621.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10681.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10741.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10801.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10861.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10921.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10981.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11041.1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11101.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11161.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11221.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11281.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11341.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11401.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11461.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11521.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11581.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11641.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11701.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11761.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11821.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11881.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11941.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12061.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12121.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12181.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12241.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12301.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12361.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12421.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12481.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12541.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12601.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12661.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12721.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12781.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12841.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12901.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12961.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13021.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13081.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13141.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13201.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13261.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13321.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13381.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13441.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13501.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13561.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13621.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13681.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13741.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13801.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13861.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13921.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13981.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14041.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14101.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14161.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14221.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14281.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14341.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14401.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14461.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14521.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14581.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14641.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14701.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14761.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14821.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14881.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14941.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15001.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15061.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15121.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15181.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15241.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15301.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15361.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15421.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15481.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15541.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15601.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15661.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15721.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15781.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15841.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15901.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15961.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16021.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16081.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16141.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16201.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16261.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16321.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16381.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16441.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16501.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16561.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16621.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16681.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16741.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16801.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16861.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16921.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16981.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17041.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17101.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17161.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
